task,env_seed,interface_seed,condition,return,normalized_return,success,progress,violations,switches,retries,unnecessary_switches,unnecessary_retries,expected_regret,recovery_lag,actions
resources,30000,11,random,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
tools,30002,47,alone,-2.5999999999999996,-0.2407407407407407,False,0,0,0,0,0,0,8.514999999999999,4.0,ACACCC
tools,30002,29,simple,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
tools,30002,11,fly_disconnected,-2.5999999999999996,-0.2407407407407407,False,0,0,0,0,0,0,8.514999999999999,4.0,ACACCC
tools,30001,29,fly,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
tools,30002,29,fly_reset,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
tools,30002,11,simple,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
tools,30000,29,fly,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
resources,30001,29,random,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
resources,30000,29,simple,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
tools,30002,47,rewired,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
tools,30000,29,simple,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
resources,30002,11,random,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
tools,30000,47,fly,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
resources,30000,47,simple,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
resources,30000,47,fly_disconnected,5.279999999999999,0.2933333333333333,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
resources,30000,29,fly,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
tools,30001,29,fly_reset,-0.9,-0.08333333333333333,False,1,0,1,0,1,0,9.29,1.0,ACBAAC
resources,30002,47,fly,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
resources,30000,47,fly_reset,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
resources,30001,29,fly_disconnected,4.989999999999999,0.2772222222222222,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
resources,30002,29,fly_reset,8.540000000000001,0.4744444444444445,True,5,0,1,0,0,0,0.0,0.0,AACBAA
tools,30001,47,fly_reset,-0.9,-0.08333333333333333,False,1,0,1,0,1,0,9.29,1.0,ACBAAC
tools,30002,11,rewired,0.9000000000000004,0.08333333333333336,False,2,0,2,1,1,1,6.34,1.5,BABCAA
resources,30000,47,fly,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
resources,30001,11,fly_disconnected,4.989999999999999,0.2772222222222222,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
tools,30000,29,fly_reset,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
resources,30002,29,random,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
resources,30002,47,alone,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
resources,30002,47,fly_disconnected,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
resources,30000,11,alone,5.279999999999999,0.2933333333333333,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
tools,30002,29,alone,-2.5999999999999996,-0.2407407407407407,False,0,0,0,0,0,0,8.514999999999999,4.0,ACACCC
resources,30000,29,fly_reset,7.75,0.4305555555555556,True,4,0,0,0,0,0,0.0,0.5,BCAAAC
resources,30002,47,simple,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
resources,30000,11,fly_disconnected,5.279999999999999,0.2933333333333333,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
resources,30001,29,rewired,6.779999999999999,0.37666666666666665,True,5,0,2,0,0,0,0.0,0.0,ABCBAA
tools,30001,11,fly_reset,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
resources,30002,47,fly_reset,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
tools,30001,47,simple,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
resources,30000,11,simple,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
resources,30002,11,fly_disconnected,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
resources,30001,11,fly_reset,6.779999999999999,0.37666666666666665,True,5,0,2,0,0,0,0.0,0.0,ABCBAA
tools,30000,47,random,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
tools,30000,11,fly_disconnected,-0.5,-0.046296296296296294,False,1,0,0,1,0,1,6.994999999999999,2.0,ACAAAC
resources,30002,11,alone,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACAB
tools,30000,29,rewired,1.3000000000000003,0.12037037037037039,False,2,0,1,1,1,1,7.834999999999999,0.5,ACBBAA
tools,30001,11,fly,-2.6999999999999997,-0.24999999999999997,False,0,0,0,0,0,0,9.649999999999999,4.0,ACBCAC
resources,30000,11,rewired,5.36,0.2977777777777778,False,4,1,1,0,0,0,0.0,0.0,AACBAA
resources,30001,11,random,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
resources,30002,47,rewired,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
resources,30001,29,simple,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
resources,30002,29,fly,8.98,0.49888888888888894,True,5,0,3,0,0,0,0.0,0.5,ABACBA
tools,30001,47,alone,1.7000000000000002,0.1574074074074074,False,2,0,0,1,0,1,6.634999999999999,0.5,ACAAAA
resources,30001,47,fly_disconnected,4.989999999999999,0.2772222222222222,True,5,0,1,0,0,0,0.0,0.0,ABCAAA
resources,30001,47,fly,8.57,0.47611111111111115,True,5,0,2,0,0,0,0.0,0.0,ABCBBA
